title,release_date,developers,additional_info,description,price,currency,tags,reviews_total_reviews,reviews_rating_value,reviews_best_rating,reviews_worst_rating
Counter-Strike 2,"Aug 21, 2012",['Valve'],"Mature Content Description
The developers describe the content like this:

			Includes intense violence and blood.","For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",0,USD,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",2516281,9,10,1
Warframe,"Mar 25, 2013",['Digital Extremes'],"Mature Content Description
The developers describe the content like this:

			This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content",Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,0,USD,"['Free to Play', 'Looter Shooter', 'Action RPG', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Massively Multiplayer', 'Online Co-Op', 'Character Customization', 'Co-op', 'PvE', 'Sci-fi', 'Singleplayer', 'Space', 'Lore-Rich', 'Shooter', 'Hack and Slash', 'Parkour', 'Ninja']",290411,9,10,1
Crimson Desert,"Mar 19, 2026",['Pearl Abyss'],"AI Generated Content Disclosure
The developers describe how their game uses AI Generated Content like this:

					Generative AI technology is used in a supplementary capacity during the creation of some 2D prop assets.
Any such assets are replaced through our production pipeline by our art and development teams, ensuring they meet our quality standards and creative direction.","Crimson Desert is an open-world action-adventure set on the continent of Pywel. Join Kliff on his journey to rebuild the Greymane faction and to save the land from a looming threat. From vast wilderness and cities to ruins and the mysterious Abyss, forge your path through battles and discovery.",69.99,USD,"['Open World', 'Action', 'Singleplayer', 'Adventure', 'Exploration', 'Combat', 'Dragons', 'Action-Adventure', 'Medieval', 'Third Person', 'Fantasy', 'RPG', 'Horses', 'Choose Your Own Adventure', 'Story Rich', '3D', 'PvE', 'Artificial Intelligence', 'Gore', 'Souls-like']",44362,9,10,1
Slay the Spire 2,"Mar 5, 2026",['Mega Crit'],,"The iconic roguelike deckbuilder returns. Craft a unique deck, encounter bizarre creatures, and discover relics of immense power in Slay the Spire 2!",24.99,USD,"['Strategy', 'Roguelike', 'Card Game', 'Deckbuilding', 'Co-op', 'Roguelike Deckbuilder', 'Multiplayer', 'Turn-Based Combat', 'Card Battler', 'Indie', 'Dungeon Crawler', 'Roguelite', '2D', 'Early Access', 'Difficult', 'Singleplayer', 'Fantasy', 'Replay Value', 'Procedural Generation', 'Mouse only']",42097,10,10,1
Marvel Rivals,"Dec 5, 2024",['NetEase Games'],,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",0,USD,"['Free to Play', 'Multiplayer', 'Hero Shooter', 'Third-Person Shooter', 'Superhero', 'PvP', 'Action', 'Team-Based', 'Competitive', 'Shooter', 'Sexual Content', '3D', 'Online Co-Op', 'Third Person', 'Strategy', 'Co-op', 'Sci-fi', 'FPS', 'Hentai', 'Psychological Horror']",274971,7,10,1
Apex Legends™,"Nov 4, 2020",['Respawn'],,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",0,USD,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Loot', 'Co-op', 'Survival', 'Character Customization', 'Funny', 'Cyberpunk', 'Lore-Rich', 'Cinematic']",439227,7,10,1
War Thunder,"Aug 15, 2013",['Gaijin Entertainment'],,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",0,USD,"['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'Flight', 'VR', 'World War II', 'War', 'Military', 'Tanks', 'Multiplayer', 'Naval Combat', 'Massively Multiplayer', 'Modern', 'Cold War', 'Action', 'Shooter', 'Realistic', 'Third Person', 'Third-Person Shooter']",305346,7,10,1
Where Winds Meet,"Nov 14, 2025",['Everstone Studio'],"AI Generated Content Disclosure
The developers describe how their game uses AI Generated Content like this:

					This game includes AI-driven NPC text and voice chat that responds to player input in real time, plus optional AI-assisted character-face generation from uploaded images or audio.",Where Winds Meet is an epic Wuxia open-world action-adventure RPG set in ancient China at the tenth century. Players will assume the role of a young sword master as they embark on a journey to uncover the mysteries of their own identity. Let the wind carry your legend on an epic journey to the East!,0,USD,"['Open World', 'Free to Play', 'Multiplayer', 'Souls-like', 'Online Co-Op', 'Action RPG', 'MMORPG', 'Adventure', 'Action', 'Story Rich', 'RPG', 'Singleplayer', 'Martial Arts', 'Action-Adventure', 'PvE', 'PvP', '3D', 'Historical', 'Atmospheric', 'Character Customization']",59770,9,10,1
ARC Raiders,"Oct 30, 2025",['Embark Studios'],"AI Generated Content Disclosure
The developers describe how their game uses AI Generated Content like this:

					During the development process, we may use procedural- and AI-based tools to assist with content creation. In all such cases, the final product reflects the creativity and expression of our own development team.","ARC Raiders is a multiplayer extraction adventure, set in a lethal future earth, ravaged by a mysterious mechanized threat known as ARC.",39.99,USD,"['Extraction Shooter', 'Multiplayer', 'PvP', 'PvE', 'Third-Person Shooter', 'Post-apocalyptic', 'Shooter', 'Online Co-Op', 'Survival', 'Sci-fi', 'Atmospheric', 'Third Person', 'Crafting', 'Inventory Management', 'Action', 'Open World', 'Combat', 'Futuristic', 'Character Customization', 'Realistic']",184107,9,10,1
Tom Clancy's Rainbow Six Siege,"Dec 1, 2015",['Ubisoft Montreal'],"Mature Content Description
The developers describe the content like this:

			This is a first-person shooter in which players control members of an elite counter-terrorism unit through various missions.","Rainbow Six® Siege is the reference in tactical team shooters, where elite strategy and execution triumph. Enjoy free access to Quick Match, Unranked, and Dual Front game modes with a selection of operators.",0,USD,"['FPS', 'PvP', 'Multiplayer', 'Shooter', 'Tactical', 'eSports', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'Realistic', 'Destruction', 'War', 'Difficult', '3D']",770117,9,10,1
